町丁別	世帯数	総数	男	女	男per女100人	人口密度	小計
南台総数	11500	20217	10140	10077	100.63	24959	1
南台一丁目	776	1290	646	644	100.31	16125	0
南台二丁目	3110	5346	2643	2703	97.78	33413	0
南台三丁目	2875	5294	2628	2666	98.57	25210	0
南台四丁目	2310	4025	2027	1998	101.45	21184	0
南台五丁目	2429	4262	2196	2066	106.29	25071	0
弥生町総数	13574	22562	11251	11311	99.47	22339	1
弥生町一丁目	4017	6408	3354	3054	109.82	30514	0
弥生町二丁目	3138	5005	2463	2542	96.89	27806	0
弥生町三丁目	1792	2948	1485	1463	101.5	26800	0
弥生町四丁目	1863	3270	1571	1699	92.47	21800	0
弥生町五丁目	1813	3220	1577	1643	95.98	11926	0
弥生町六丁目	951	1711	801	910	88.02	19011	0
本町総数	18638	29410	14563	14847	98.09	27745	1
本町一丁目	2320	3735	1857	1878	98.88	31125	0
本町二丁目	2912	4599	2370	2229	106.33	20905	0
本町三丁目	3596	5567	2791	2776	100.54	32747	0
本町四丁目	4440	6953	3383	3570	94.76	31605	0
本町五丁目	2398	3750	1821	1929	94.4	23438	0
本町六丁目	2972	4806	2341	2465	94.97	28271	0
中央総数	18460	29189	14857	14332	103.66	25163	1
中央一丁目	3618	5672	2861	2811	101.78	24661	0
中央二丁目	4037	6397	3292	3105	106.02	21323	0
中央三丁目	3456	5370	2772	2598	106.7	26850	0
中央四丁目	4137	6516	3321	3195	103.94	28330	0
中央五丁目	3212	5234	2611	2623	99.54	26170	0
東中野総数	14688	23275	11565	11710	98.76	24500	1
東中野一丁目	4237	6586	3312	3274	101.16	27442	0
東中野二丁目	2679	4455	2132	2323	91.78	20250	0
東中野三丁目	2045	3203	1586	1617	98.08	20019	0
東中野四丁目	2757	4088	2020	2068	97.68	25550	0
東中野五丁目	2970	4943	2515	2428	103.58	29076	0
中野総数	17113	27022	14146	12876	109.86	18382	1
中野一丁目	3555	5915	3151	2764	114	23660	0
中野二丁目	1517	2593	1300	1293	100.54	12348	0
中野三丁目	3769	5984	3161	2823	111.97	24933	0
中野四丁目	1743	2266	1171	1095	106.94	7081	0
中野五丁目	4361	6562	3475	3087	112.57	21873	0
中野六丁目	2168	3702	1888	1814	104.08	24680	0
上高田総数	13014	20809	10765	10044	107.18	20603	1
